month,date,name,location
12,3,晋江国际马拉松赛,泉州
10,23,开化钱江源国家公园半程马拉松赛,衢州
12,11,衢州半程马拉松赛,衢州
3,20,清远国际马拉松赛,清远
6,19,青岛西海岸新区“中建东孚杯”半程马拉松赛,青岛
9,11,中国12H不间断接力赛,青岛
10,23,海氏海诺杯青岛姜山湿地国际半程马拉松赛,青岛
5,1,秦皇岛国际马拉松,秦皇岛
9,16,贵州·从江如榜梯田国际半程马拉松赛,黔东南苗族侗
5,8,悦动全球首届舞钢环湖马拉松赛,平顶山
9,11,盘锦“红海滩”国际马拉松,盘锦
4,17,宁波山地马拉松,宁波
4,24,九龙湖国际半程马拉松,宁波
10,29,宁波国际马拉松,宁波
11,20,宁海深圳山地马拉松赛,宁波
10,30,武夷山国际马拉松赛,南平
11,6,武夷山国际越野赛,南平
12,4,南宁国际半程马拉松赛,南宁
3,27,南京山地马拉松,南京
3,27,南京深水传家边山地国际半程马拉松赛,南京
4,10,南京·江宁春牛首国际马拉松赛,南京
4,16,南京浦口国际女子半程马拉松,南京
4,24,南京国际跑步节,南京
7,2,南京紫金山三夫“量山好汉”荧光夜跑,南京
10,16,南京马拉松,南京
10,29,南京国际越野跑挑战赛,南京
10,30,南京六合竹镇国际半程马拉松,南京
11,26,南京老山70km越野挑战赛,南京
6,26,奥跑中国奥林匹克体育中心大众路跑全国系列赛,南昌
11,20,南昌国际马拉松,南昌
6,11,首届镜泊湖马拉松赛,牡丹江
12,11,雪乡冰雪马拉松,牡丹江
6,21,漠河·极昼马拉松,漠河
11,20,酒城泸州半程马拉松,泸州
11,20,福建永定环土楼首届国际山地马拉松赛,龙岩
7,23,凉都·六盘水夏季国际马拉松赛,六盘水
3,26,丽水半程马拉松,丽水
6,19,丽江雪山半程马拉松,丽江
12,24,永定河国际半程马拉松,廊坊
6,11,兰州国际马拉松赛,兰州
2,28,昆明高原国际半程马拉松赛,昆明
12,17,上合昆明国际马拉松赛,昆明
9,25,克拉玛依国际马拉松赛,克拉玛依
9,25,酒泉国际戈壁超级马拉松,酒泉
10,5,敦煌雅丹魔鬼马拉松,酒泉
5,2,湖北荆门国际马拉松赛,荆门
5,28,北镇金翠杯御路半程马拉松赛,锦州
4,10,横店半程马拉松,金华
5,29,磐安生态马拉松,金华
11,20,义乌国际半程马拉松,金华
9,16,丝绸之路·嘉峪关长城马拉松,嘉峪关
1,1,东极抚远·黑瞎子岛新年日出马拉松,佳木斯
11,13,济宁环太白湖半程马拉松赛,济宁
5,14,济南森林氧吧半程马拉松,济南
9,25,济南囡博园半程马拉松比赛,济南
10,16,活力西城济南国际半程马拉松,济南
10,16,凤台警营马拉松,济南
10,23,济南12小时超级马拉松,济南
6,26,吉林市国际马拉松赛,吉林
8,21,巴鲁图关东越野系列赛,吉林
7,17,兴凯湖马拉松,鸡西
4,10,黄山徽州马拉松,黄山
4,16,黄山国际百公里山地越野挑战赛,黄山
5,22,新安江山水画廊国际马拉松赛,黄山
11,20,淮南国际半程马拉松,淮南
5,15,淮安金湖国际半程马拉松,淮安
10,23,洪泽湖国际半程马拉松,淮安
6,10,新晃量山好汉国际山地马拉松,怀化
4,17,太湖图影国际半程马拉松,湖州
9,24,衡水湖国际马拉松赛,衡水
6,8,五大连池环火山国际马拉松赛,黑河
